uid,name_en,poi,country,province,city,address,tel
10036818,"Fairmont Heritage Place, El Corazon de Santa Fe","35.69120400000000,-105.94051399999999",us,NM,Santa Fe,"103 Catron Street, Santa Fe, NM 87501",+1(505)9956569
10036820,Fairmont Scottsdale Princess,"33.64546300000000,-111.91753700000000",us,AZ,Scottsdale,"7609-7619 East Princess Drive, Scottsdale, AZ 85255",+1(480)5854848
10031343,Holiday Inn Cleveland-West (Westlake),"41.47131,-81.950602",us,OH,Westlake,"1145 Crocker Road, Westlake, OH 44145",+1(440)8716000
10036815,The Fairmont San Francisco,"37.79233600000000,-122.41066800000000",us,CA,San Francisco,"950 Mason Street, San Francisco, CA 94108",+1(415)7725000
10036816,"Fairmont Heritage Place, Ghirardelli Square","37.80549100000000,-122.42344900000001",us,CA,San Francisco,"900-998 North Point Street, San Francisco, CA 94109",+1(415)2689900
10036817,The Fairmont San Jose,"37.33294800000000,-121.88942100000000",us,CA,San Jose,"150-160 South Market Street, San Jose, CA 95113",+1(408)9981900
10032012,Holiday Inn Resort Daytona Beach Oceanfront,"29.20729,-80.99856",us,FL,Daytona Beach,"1613-1671 Florida A1A, Daytona Beach, FL 32118",+1(386)2550921
10036728,The Langham Chicago,"41.888565,-87.627258",us,IL,Chicago,"330 North Wabash Avenue, Chicago, IL 60611",+1(312)9239988
10036806,"Fairmont Chicago, Millennium Park","41.88612100000000,-87.62092100000000",us,IL,Chicago,"Chicago Pedway System, Chicago, IL 60601",+1(312)5658000
10036819,Fairmont Miramar Hotel & Bungalows,"34.01751400000000,-118.50102400000000",us,CA,Santa Monica,"151-199 Wilshire Boulevard, Santa Monica, CA 90401",+1(310)5767777
10031410,Holiday Inn Dover-Downtown,"39.17612,-75.5242",us,DE,Dover,"549-561 North Dupont Highway, Dover, DE 19901",+1(302)7475050
10031954,Holiday Inn Pewaukee-Milwaukee West,"43.050921,-88.227382",us,WI,Pewaukee,"n14w24130 Tower Place, Pewaukee, WI 53072",+1(262)5066300
10030919,Crowne Plaza Executive Center Baton Rouge,"30.4212575,-91.1360702",us,LA,Baton Rouge,"4728 Constitution Avenue, Baton Rouge, LA 70808",+1(225)9252244
10030534,Candlewood Suites Champaign-Urbana Univ Area,"40.13814,-88.250799",us,IL,Champaign,"1906 Moreland Boulevard, Champaign, IL 61822",+1(217)3981000
10036808,The Fairmont Dallas,"32.78556500000000,-96.80136299999999",us,TX,Dallas,"1412 North Riverfront Boulevard, Dallas, TX 75201",+1(214)7202020
10036812,"The Plaza, A Fairmont Managed Hotel","40.76453900000000,-73.97399400000000",us,NY,New York,"2-98 West 59th Street, New York, NY 10019",+1(212)7593000
10036821,The Fairmont Olympic Hotel,"47.60819900000000,-122.33413400000001",us,WA,Seattle,"417 University Street, Seattle, WA 98101",+1(206)6211700
10031231,Holiday Inn Birmingham - Hoover,"33.369844,-86.81716",us,AL,Hoover,"2965-2973 Alabama 150, Hoover, AL 35244",+1(205)6822901
10036824,"Fairmont Washington, D.C., Georgetown","38.90571600000000,-77.05164700000000",us,DC,Washington,"2401 M Street Northwest, Washington, DC 20037",+1(202)4292400
10029310,DoubleTree by Hilton Hotel Bay City - Riverfront,"43.5973,-83.8912",us,MI,Bay City,"Bay City Loop, Bay City, MI 48708",+1(989)8916000
10031825,Holiday Inn Midland,"43.6574,-84.23695",us,MI,Midland,"810 Cinema Drive, Midland, MI 48642",+1(989)7948500
10025148,Four Points by Sheraton Saginaw,"43.4787,-83.9628",us,MI,Saginaw,"4960 Towne Centre Road, Saginaw, MI 48604",+1(989)7905050
10027494,Courtyard Bay City,"43.5910606,-83.8924055",us,MI,Bay City,"1 East Main Street, Bay City, MI 48708",+1(989)6341370
10027401,Courtyard Hammond,"30.4863917,-90.4589491",us,LA,Hammond,"1605-1675 South Magnolia Street, Hammond, LA 70403",+1(985)9567730
