uid,name_en,tel
10031264,Holiday Inn Budd Lake - Rockaway Area,+1(973)4481100
10026383,Hyatt House Parsippany-East,+1(973)4288875
10027624,Courtyard Parsippany,+1(973)3940303
10029011,Hilton Short Hills,+1(973)3790100
10029852,Embassy Suites Parsippany,+1(973)3341440
10030265,Hilton Garden Inn Rockaway,+1(973)3280600
10029006,Hilton Parsippany,+1(973)2677373
10031601,Holiday Inn Hotel & Suites Parsippany Fairfield,+1(973)2632000
10031874,Holiday Inn Newark Airport,+1(973)2420900
10032329,Hotel Indigo Newark Downtown,+1(973)2420065
10030920,Crowne Plaza Fairfield,+1(973)2279200
10028040,Courtyard Dallas Richardson at Campbell,+1(972)9949933
10026430,Hyatt Place Dallas/North Arlington/Grand Prairie,+1(972)9886800
10030896,Crowne Plaza Dallas Near Galleria-Addison,+1(972)9808877
10026524,Grand Hyatt DFW,+1(972)9731234
10026073,The Westin Galleria Dallas,+1(972)9349494
10029059,Hilton Dallas Lincoln Centre,+1(972)9348400
10025347,Element Dallas Fort Worth Airport North,+1(972)9299800
10028016,Dallas/Fort Worth Airport Marriott,+1(972)9298800
10025741,Sheraton DFW Airport Hotel,+1(972)9298400
10029458,DoubleTree by Hilton Hotel Dallas - DFW Airport North,+1(972)9298181
10026079,The Westin Dallas Fort Worth Airport,+1(972)9294500
10028017,Courtyard Dallas DFW Airport North/Irving,+1(972)9294004
10028038,Courtyard Dallas Plano Parkway at Preston Road,+1(972)8678000
10026254,Hyatt House Dallas/Las Colinas,+1(972)8310909
10028015,Dallas Marriott Las Colinas,+1(972)8310000
10028018,Courtyard Dallas DFW Airport South/Irving,+1(972)7908990
10029721,Embassy Suites Dallas - DFW International Airport South,+1(972)7900093
10029720,Embassy Suites Dallas - DFW Airport North Outdoor World,+1(972)7242600
10025309,Aloft Las Colinas,+1(972)7176100
10036427,Four Seasons Dallas,+1(972)7170700
10026261,Hyatt Place Dallas-North/by the Galleria,+1(972)7162001
10030560,Candlewood Suites Dallas-Las Colinas,+1(972)7149990
10029726,"Embassy Suites Dallas -Frisco/Hotel, Convention Center & Spa",+1(972)7127200
10026263,Hyatt Place Dallas/Grapevine,+1(972)6911199
10028030,Courtyard Dallas Mesquite,+1(972)6813300
10026256,Hyatt House Dallas/Richardson,+1(972)6718080
10030562,Candlewood Suites Dallas Park Central,+1(972)6699606
10025736,Sheraton Stonebriar Hotel,+1(972)6688700
10026074,The Westin Stonebriar,+1(972)6688000
10025307,Aloft Frisco,+1(972)6686011
10025733,Sheraton Dallas Hotel by the Galleria,+1(972)6613600
10026253,Hyatt House Dallas/Addison,+1(972)6613113
10027975,Dallas/Addison Marriott Quorum by the Galleria,+1(972)6612800
10029462,DoubleTree by Hilton Hotel Dallas - Richardson,+1(972)6444000
10027977,Courtyard Dallas LBJ at Josey,+1(972)6208000
10026271,Hyatt Regency North Dallas,+1(972)6191234
10030733,Candlewood Suites Plano-Frisco,+1(972)6185446
10028019,Courtyard Dallas Las Colinas,+1(972)5508100
10026264,Hyatt Place Dallas/Las Colinas,+1(972)5507400
10029459,DoubleTree by Hilton Hotel Dallas - Farmers Branch,+1(972)5060055
10025441,Le Méridien Dallas by the Galleria,+1(972)5038700
10031470,Holiday Inn Garland,+1(972)4951144
10027950,Courtyard Dallas Addison/Midway,+1(972)4907390
10031387,Holiday Inn Dallas North-Addison,+1(972)4901212
10028036,Dallas/Plano Marriott at Legacy Town Center,+1(972)4736444
10026265,Hyatt Place Dallas/Park Central,+1(972)4581224
10026436,Hyatt Regency DFW International Airport,+1(972)4531234
10026262,Hyatt Place Dallas/Garland/Richardson,+1(972)4143500
10027951,Courtyard Dallas Addison/Quorum Drive,+1(972)4041555
10028037,Courtyard Dallas Plano in Legacy Park,+1(972)4030802
10022976,InterContinental Dallas,+1(972)3866000
10029463,DoubleTree by Hilton Hotel Dallas Near the Galleria,+1(972)3859000
10026072,The Westin Dallas Park Central,+1(972)3853000
10026266,Hyatt Place Dallas/Plano,+1(972)3783997
10028039,Renaissance Dallas Richardson Hotel,+1(972)3672000
10029724,Embassy Suites Dallas - Near the Galleria,+1(972)3643640
10028024,Courtyard Dallas Lewisville,+1(972)3163100
10028041,Courtyard Dallas Richardson at Spring Valley,+1(972)2355000
10029725,Embassy Suites Dallas - Park Central Area,+1(972)2343300
10030558,Candlewood Suites Dallas-By The Galleria,+1(972)2336888
10026684,Park Hyatt Beaver Creek Resort and Spa,+1(970)9491234
10027008,Courtyard Glenwood Springs,+1(970)9471300
10026006,The Westin Snowmass Resort,+1(970)9238200
10040580,The Little Nell,+1(970)9204600
10025515,"St. Regis Residence Club, Aspen",+1(970)9203300
10025516,The St. Regis Aspen Resort,+1(970)9203300
10040548,Dunton Hot Springs,+1(970)8824800
10032162,Holiday Inn Steamboat Springs,+1(970)8792250
10025600,Sheraton Steamboat Resort,+1(970)8792220
10025601,Sheraton Steamboat Resort Villas,+1(970)8792220
10040575,The Home Ranch,+1(970)8791780
10030557,Candlewood Suites Craig-Northwest,+1(970)8248400
10026004,The Westin Riverfront Resort & Spa at Beaver Creek Mountain,+1(970)7906000
10026003,"The Westin Riverfront Mountain Villas, Beaver Creek Mountain",+1(970)7903000
10025079,"Sheraton Mountain Vista Villas, Avon / Vail Valley",+1(970)7486000
10032181,Holiday Inn Summit County-Frisco,+1(970)6685000
10030672,Candlewood Suites Loveland,+1(970)6675444
10029990,"Embassy Suites Loveland - Hotel, Spa & Conference Center",+1(970)5936200
10029532,DoubleTree by Hilton Hotel Breckenridge,+1(970)5475550
10029143,Hilton Fort Collins,+1(970)4822626
10036456,Four Seasons Vail,+1(970)4778600
10053255,"The Ritz-Carlton Club, Vail",+1(970)4773700
10027019,Marriott's StreamSide Birch at Vail,+1(970)4766000
10027020,Marriott's StreamSide Douglas at Vail,+1(970)4766000
10027021,Marriott's StreamSide Evergreen at Vail,+1(970)4766000
10027018,Vail Marriott Mountain Resort,+1(970)4764444
10032233,Holiday Inn Vail,+1(970)4762739
10026989,Marriott's Mountain Valley Lodge at Breckenridge,+1(970)4538500
10029191,Valdoro Mountain Lodge by Hilton Grand Vacations Suites,+1(970)4534880
10031562,Holiday Inn Hotel & Suites Grand Junction-Airport,+1(970)4245888
10031556,Holiday Inn Hotel & Suites Durango Central,+1(970)3856400
10030605,Candlewood Suites Greeley,+1(970)3302333
10030721,Candlewood Suites Parachute,+1(970)2859880
10026993,"Kessler Canyon, Autograph Collection",+1(970)2831145
10027007,Courtyard Fort Collins,+1(970)2821700
10027011,Courtyard Grand Junction,+1(970)2634414
10029543,DoubleTree by Hilton Hotel Durango,+1(970)2596580
10030604,Candlewood Suites Grand Junction Nw,+1(970)2558093
10029546,DoubleTree by Hilton Hotel Grand Junction,+1(970)2418888
10027006,Fort Collins Marriott,+1(970)2265200
10030308,Hilton Garden Inn Fort Collins,+1(970)2252900
10030590,Candlewood Suites Fort Collins,+1(970)2230200
10028023,Courtyard Laredo,+1(956)7255555
10029740,Embassy Suites Laredo,+1(956)7239100
10029748,Embassy Suites McAllen,+1(956)6863000
10028029,Courtyard McAllen Airport,+1(956)6687800
10028028,Casa De Palmas Renaissance McAllen Hotel,+1(956)6311101
10031258,Holiday Inn Brownsville,+1(956)5471500
10027992,Courtyard Harlingen,+1(956)4127800
10030609,Candlewood Suites Harlingen,+1(956)4126900
10027968,Courtyard Brownsville,+1(956)3504600
10027095,Hollywood Beach Marriott,+1(954)9242202
10026335,Hyatt Place Ft. Lauderdale Airport &amp; Cruise Port,+1(954)9220436
10026329,Hyatt House Fort Lauderdale Airport And Cruise Port,+1(954)9220271
10025608,Sheraton Fort Lauderdale Airport & Cruise Port Hotel,+1(954)9203500
10040571,Royal Blues Hotel,+1(954)8572929
10029504,DoubleTree by Hilton Hotel Sunrise - Sawgrass Mills,+1(954)8511020
10027181,Fort Lauderdale Marriott Pompano Beach Resort & Spa,+1(954)7820100
10027088,Courtyard Fort Lauderdale North/Cypress Creek,+1(954)7727770
10025610,Sheraton Suites Fort Lauderdale at Cypress Creek,+1(954)7725400
10026013,The Westin Fort Lauderdale,+1(954)7721331
10027087,Courtyard Fort Lauderdale East,+1(954)7718100
10027085,Fort Lauderdale Marriott North,+1(954)7710440
10029414,Bahia Mar Fort Lauderdale Beach - a DoubleTree by Hilton Hotel,+1(954)7642233
10026332,Hyatt Place Fort Lauderdale 17th Street Convention Center,+1(954)7637670
10027076,"Fort Lauderdale Marriott Coral Springs Hotel, Golf Club & Convention Center",+1(954)7535598
10031617,Holiday Inn Hotel & Suites Sawgrass Mills,+1(954)7487000
10027083,Renaissance Fort Lauderdale Cruise Port Hotel,+1(954)6261700
10029681,"Diplomat Resort & Spa Hollywood, Curio Collection by Hilton",+1(954)6026000
10029513,GALLERYone - a DoubleTree Suites by Hilton Hotel,+1(954)5653800
10029731,Embassy Suites Fort Lauderdale - 17th Street,+1(954)5272700
10026572,Hyatt Regency Pier Sixty-Six,+1(954)5256666
10027090,Marriott's BeachPlace Towers,+1(954)5254440
10027084,Fort Lauderdale Marriott Harbor Beach Resort & Spa,+1(954)5254000
10027086,Courtyard Fort Lauderdale Beach,+1(954)5248733
10025609,Sheraton Fort Lauderdale Beach Hotel,+1(954)5245551
10030924,Crowne Plaza Ft. Lauderdale Airport/Cruise,+1(954)5238080
10030597,Candlewood Suites Ft. Lauderdale Airport/Cruise,+1(954)5228822
10027180,Courtyard Fort Lauderdale Plantation,+1(954)4751100
10027179,Renaissance Fort Lauderdale-Plantation Hotel,+1(954)4722252
10026012,"The Westin Beach Resort & Spa, Fort Lauderdale",+1(954)4671111
10029067,Hilton Fort Lauderdale Marina,+1(954)4634000
10030947,Crowne Plaza Hollywood Beach Resort,+1(954)4544334
10027141,Courtyard Fort Lauderdale SW/Miramar,+1(954)4501801
10029465,DoubleTree by Hilton Hotel Deerfield Beach - Boca Raton,+1(954)4277700
10029727,Embassy Suites Deerfield Beach - Resort & Spa,+1(954)4260478
10025620,Sheraton Suites Plantation,+1(954)4243300
10025944,W Fort Lauderdale,+1(954)4148200
10029066,Hilton Fort Lauderdale Beach Resort,+1(954)4142222
10026333,Hyatt Place Fort Lauderdale/Plantation,+1(954)3702220
10027089,Courtyard Fort Lauderdale Weston,+1(954)3432225
10027078,Courtyard Fort Lauderdale Airport & Cruise Port,+1(954)3428333
10027077,Courtyard Fort Lauderdale Coral Springs,+1(954)2271300
10030177,Hilton Garden Inn Minneapolis/Eden Prairie,+1(952)9959000
10026372,Hyatt Place Minneapolis/Eden Prairie,+1(952)9449700
10027529,Courtyard Minneapolis Eden Prairie,+1(952)9429100
10027538,Minneapolis Marriott Southwest,+1(952)9355500
10028963,Hilton Minneapolis/Bloomington,+1(952)8939500
10031235,Holiday Inn Blmgtn Arpt South- Mall Area,+1(952)8848211
10029802,Embassy Suites Bloomington,+1(952)8844811
10027527,Courtyard Minneapolis Bloomington,+1(952)8760100
10031102,Crowne Plaza Suites MSP Airport - Mall of America,+1(952)8549000
10027526,Minneapolis Airport Marriott,+1(952)8547441
10028964,Hilton Minneapolis/St. Paul Airport Mall of America,+1(952)8542100
10029832,Embassy Suites Minneapolis - Airport,+1(952)8541000
10026370,Hyatt Place Minneapolis Airport-South,+1(952)8540700
10029313,DoubleTree by Hilton Hotel Bloomington - Minneapolis South,+1(952)8357800
10025668,Sheraton Bloomington Hotel,+1(952)8351900
10030866,Crowne Plaza Bloomington MSP Airport / MOA,+1(952)8318000
10030176,Hilton Garden Inn Minneapolis/Bloomington,+1(952)8311012
10025671,Sheraton Minneapolis West Hotel,+1(952)5930000
10026049,The Westin Edina Galleria,+1(952)5675000
10027536,Minneapolis Marriott West,+1(952)5444400
10029338,DoubleTree by Hilton Hotel Minneapolis - Park Place,+1(952)5428600
10031585,Holiday Inn Hotel & Suites Minneapolis - Lakeville,+1(952)4691134
10026921,Marriott Riverside at the Convention Center,+1(951)7848000
10029792,Embassy Suites Temecula Valley Wine Country,+1(951)6765656
10026307,Hyatt Place Riverside/Downtown,+1(951)3213500
10026922,Courtyard Riverside Downtown/UCR Area,+1(951)2761200
10026848,Courtyard Foothill Ranch Irvine East/Lake Forest,+1(949)9515700
10026866,Courtyard Laguna Hills Irvine Spectrum/Orange County,+1(949)8595500
10030313,Hilton Garden Inn Irvine East/Lake Forest,+1(949)8594000
10026892,Newport Beach Marriott Bayview,+1(949)8544500
10029147,Hilton Irvine/Orange County Airport,+1(949)8339999
10026863,Courtyard Irvine John Wayne Airport/Orange County,+1(949)7571200
10026483,Hyatt Regency Newport Beach,+1(949)7291234
10026843,Laguna Cliffs Marriott Resort & Spa,+1(949)6615000
10029521,DoubleTree Suites by Hilton Hotel Doheny Beach - Dana Point,+1(949)6611100
10026822,Renaissance ClubSport Aliso Viejo Hotel,+1(949)6436700
10026893,Newport Beach Marriott Hotel & Spa,+1(949)6404000
10030717,Candlewood Suites Orange County/Irvine East,+1(949)5989105
10029737,Embassy Suites Irvine - Orange County Airport,+1(949)5538332
10026862,Irvine Marriott,+1(949)5530100
10031706,Holiday Inn Laguna Beach,+1(949)4941001
10029547,DoubleTree by Hilton Hotel Irvine - Spectrum,+1(949)4718888
10026894,Marriott's Newport Coast Villas,+1(949)4646000
10031667,Holiday Inn Irvine South/Irvine Spectrum,+1(949)4557000
10026864,Courtyard Irvine Spectrum,+1(949)4531033
10032093,Holiday Inn San Clemente (Camp Pendleton),+1(949)3613000
10025513,The St. Regis Monarch Beach,+1(949)2343200
10030314,Hilton Garden Inn Irvine/Orange County Airport,+1(949)2243900
10026504,Hyatt Regency Sarasota,+1(941)9531234
10032118,Holiday Inn Sarasota-Lakewood Ranch,+1(941)7824400
10027070,Courtyard Bradenton Sarasota/Riverfront,+1(941)7473727
10025130,Four Points by Sheraton Punta Gorda Harborside,+1(941)6376770
10026340,Hyatt Place Sarasota/Bradenton Airport,+1(941)5545800
10032344,Hotel Indigo Sarasota,+1(941)4873800
10032119,Holiday Inn Sarasota-Lido Beach-@The Beach,+1(941)3885555
10027187,Courtyard Sarasota University Park/Lakewood Ranch Area,+1(941)3602626
10032117,Holiday Inn Sarasota-Airport,+1(941)3559000
10027186,Courtyard Sarasota Bradenton Airport,+1(941)3553337
10028071,Courtyard Wichita Falls,+1(940)6960010
10030564,Candlewood Suites Decatur Medical Center,+1(940)6275480
10031552,Holiday Inn Hotel & Suites Denton University Area,+1(940)3834100
10027979,Courtyard Denton,+1(940)3824600
10030808,Candlewood Suites Wichita Falls @ Maurine St.,+1(940)3224400
10027782,Courtyard Dayton North,+1(937)8906112
10030137,Hilton Garden Inn Dayton Beavercreek,+1(937)4582650
10029304,DoubleTree Suites by Hilton Hotel Dayton - Miamisburg,+1(937)4362400
10027792,Courtyard Dayton South/Mall,+1(937)4333131
10027763,Courtyard Dayton Beavercreek,+1(937)4295203
10031395,Holiday Inn Dayton/Fairborn I-675,+1(937)4267800
10027799,Courtyard Springfield Downtown,+1(937)3223600
10030138,Hilton Garden Inn Dayton South-Austin Landing,+1(937)2475850
10027781,Dayton Marriott,+1(937)2231000
10027783,Courtyard Dayton-University of Dayton,+1(937)2209060
10028027,Courtyard Lufkin,+1(936)6320777
10028061,Courtyard Houston North/Shenandoah,+1(936)2736600
10030626,Candlewood Suites Houston (The Woodlands),+1(936)2712100
10030543,Candlewood Suites Clarksville,+1(931)9060900
10027924,Courtyard Clarksville,+1(931)5514480
10030378,Hilton Garden Inn Yuma Pivot Point,+1(928)7831500
10032287,Holiday Inn Yuma,+1(928)7829300
10026785,Courtyard Flagstaff,+1(928)7745800
10029730,Embassy Suites Flagstaff,+1(928)7744333
10029544,DoubleTree by Hilton Hotel Flagstaff,+1(928)7738888
10031290,Holiday Inn Canyon De Chelly (Chinle),+1(928)6745000
10026790,Courtyard Page at Lake Powell,+1(928)6455000
10029180,Hilton Sedona Resort & Spa,+1(928)2844040
10030305,Hilton Garden Inn Flagstaff,+1(928)2268888
10026981,Renaissance ClubSport Walnut Creek Hotel,+1(925)9388700
10026299,Hyatt House Pleasant Hill,+1(925)9343343
10029797,Embassy Suites Walnut Creek,+1(925)9342500
10026982,Walnut Creek Marriott,+1(925)9342000
10026955,San Ramon Marriott,+1(925)8679200
10026956,Courtyard San Ramon,+1(925)8662900
10026914,Pleasanton Marriott,+1(925)8476000
10026304,Hyatt Place Dublin/Pleasanton,+1(925)8289006
10031417,Holiday Inn Dublin-Pleasanton,+1(925)8287750
10029142,Hilton Concord,+1(925)8272000
10030890,Crowne Plaza Concord/Walnut Creek,+1(925)8257700
10026302,Hyatt House San Ramon,+1(925)7431882
10026300,Hyatt House Pleasanton,+1(925)7300070
10026913,Courtyard Pleasant Hill,+1(925)6911444
10029563,DoubleTree by Hilton Hotel Pleasanton at the Club,+1(925)4638000
10025587,Sheraton Pleasanton Hotel,+1(925)4633330
10026915,Courtyard Pleasanton,+1(925)4631414
10025112,Four Points by Sheraton Pleasanton,+1(925)4608800
10029550,DoubleTree by Hilton Hotel Livermore,+1(925)4434950
10030321,Hilton Garden Inn Livermore,+1(925)2922000
10026869,Courtyard Livermore,+1(925)2431000
10030184,Hilton Garden Inn Oshkosh,+1(920)9661300
10025316,Aloft Green Bay,+1(920)8840800
10030496,Candlewood Suites Appleton,+1(920)7398000
10031162,Holiday Inn Appleton,+1(920)7359955
10030109,Hilton Garden Inn Appleton/Kimberly,+1(920)7301900
10031873,Holiday Inn Neenah,+1(920)7258441
10031799,Holiday Inn Manitowoc,+1(920)6826000
10031563,Holiday Inn Hotel & Suites Green Bay Stadium,+1(920)5694248
10026455,"Hyatt on Main, Green Bay",+1(920)4321234
10030151,Hilton Garden Inn Green Bay,+1(920)4050400
10025696,Sheraton Chapel Hill Hotel,+1(919)9684900
10027729,Marriott at Research Triangle Park,+1(919)9416200
10029497,DoubleTree by Hilton Hotel Raleigh-Durham Airport at Research Triangle Park,+1(919)9416000
10025699,Sheraton Imperial Hotel & Convention Center,+1(919)9415050
10025292,Aloft Chapel Hill,+1(919)9327772
10027712,"The Siena Hotel, Autograph Collection",+1(919)9294000
10027713,Courtyard Chapel Hill,+1(919)8830700
10029931,Embassy Suites Raleigh - Crabtree,+1(919)8810000
10031997,Holiday Inn Raleigh North - Capital Blvd,+1(919)8723500
10029101,Hilton North Raleigh/Midtown,+1(919)8722323
10031607,Holiday Inn Hotel & Suites Raleigh-Cary (I-40 @Walnut St),+1(919)8511220
10025701,Sheraton Raleigh Hotel,+1(919)8349900
10027747,Raleigh Marriott City Center,+1(919)8331120
10031995,Holiday Inn Raleigh Downtown,+1(919)8320501
10029495,DoubleTree by Hilton Hotel Raleigh - Brownstone - University,+1(919)8280811
10027750,Courtyard Raleigh Midtown,+1(919)8213400
10031994,Holiday Inn Raleigh (Crabtree Valley Mall),+1(919)7828600
10027749,Courtyard Raleigh Crabtree Valley,+1(919)7826868
10027748,Raleigh Marriott Crabtree Valley,+1(919)7817000
10027728,Durham Marriott City Center,+1(919)7686000
10026233,Hyatt Place Durham/Southpoint,+1(919)6887800
10029933,Embassy Suites Raleigh - Durham/Research Triangle,+1(919)6771840
10027751,Courtyard Raleigh North/Triangle Town Center,+1(919)6450088
10029932,Embassy Suites Raleigh - Durham Airport/Brier Creek,+1(919)5722200
10027746,Renaissance Raleigh North Hills Hotel,+1(919)5718773
10030796,Candlewood Suites Wake Forest Raleigh Area,+1(919)5546901
10040573,"The Fearrington House Inn, Restaurant & Spa",+1(919)5422121
10030577,Candlewood Suites Durham-Rtp,+1(919)4849922
10027731,Courtyard Durham Research Triangle Park,+1(919)4842900
10027711,Courtyard Raleigh Cary,+1(919)4819666
10032336,Hotel Indigo Raleigh Durham Airport At Rtp,+1(919)4743000
10027744,Courtyard Raleigh-Durham Airport,+1(919)4679444
10031996,Holiday Inn Raleigh-Durham Airport,+1(919)4651910
10029683,"The Franklin Hotel Chapel Hill, Curio Collection by Hilton",+1(919)4429000
10026236,Hyatt Place Raleigh-Durham Airport,+1(919)4052400
10026228,Hyatt House Raleigh Durham Airport,+1(919)3885355
10030495,Candlewood Suites Apex Raleigh Area,+1(919)3878595
10053407,Millennium Hotel Durham,+1(919)3838575
10029065,Hilton Durham near Duke University,+1(919)3838033
10025162,Four Points by Sheraton Raleigh Durham Airport,+1(919)3801221
10026229,Hyatt House Raleigh North Hills,+1(919)3630771
10029430,DoubleTree Suites by Hilton Hotel Raleigh - Durham,+1(919)3614660
10027730,Courtyard Durham Near Duke University/Downtown,+1(919)3091500
10029496,DoubleTree by Hilton Hotel Raleigh - Cary,+1(919)2394777
10026235,Hyatt Place Raleigh West,+1(919)2332205
10031632,Holiday Inn Hotel & Suites Tulsa South,+1(918)9945000
10027819,Courtyard Tulsa Woodland Hills,+1(918)9944500
10025298,Aloft Tulsa,+1(918)9499000
10025299,Aloft Tulsa Downtown,+1(918)9478200
10030512,Candlewood Suites Bartlesville East,+1(918)7660044
10027817,Courtyard Tulsa Central,+1(918)6600646
10030032,Embassy Suites Tulsa - I-44,+1(918)6224000
10027814,"Ambassador Hotel Tulsa, Autograph Collection",+1(918)5878200
10029508,DoubleTree by Hilton Hotel Tulsa Downtown,+1(918)5878000
10032219,Holiday Inn Tulsa City Center,+1(918)5855898
10027818,Courtyard Tulsa Downtown,+1(918)5087400
10029507,DoubleTree by Hilton Hotel Tulsa - Warren Place,+1(918)4951000
10027816,Marriott Tulsa Hotel Southern Hills,+1(918)4937000
10031115,Crowne Plaza Tulsa - Southern Hills,+1(918)4925000
10026245,Hyatt Place Tulsa-South/Medical District,+1(918)4914010
10027815,Renaissance Tulsa Hotel & Convention Center,+1(918)3072600
10030788,Candlewood Suites Tulsa,+1(918)2949000
10026246,Hyatt Regency Tulsa,+1(918)2341234
10026847,Courtyard Sacramento Folsom,+1(916)9847624
10029567,DoubleTree by Hilton Hotel Sacramento,+1(916)9298855
10026927,Courtyard Sacramento Cal Expo,+1(916)9297900
10029163,Hilton Sacramento Arden West,+1(916)9224700
10026926,Courtyard Sacramento Airport Natomas,+1(916)9221120
10026180,Hyatt Place Sacramento/Roseville,+1(916)7816400
10030347,Hilton Garden Inn Roseville,+1(916)7737171
10026923,Courtyard Roseville,+1(916)7725555
10026924,Courtyard Roseville Galleria Mall/Creekside Ridge Drive,+1(916)7723404
10030348,Hilton Garden Inn Sacramento Elk Grove,+1(916)6911900
10026179,Hyatt House Sacramento/Rancho Cordova,+1(916)6384141
